epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1907,1.80369,2.69109,1.85961,0.24852,0.3296,0.21117,0.07225,2.54368,3.68889,3.27197,0.000661017,0.000661017,0.000661017
2,106.222,1.92903,2.20749,2.0256,0.30096,0.26682,0.21532,0.07955,2.28004,4.20135,2.62111,0.00131125,0.00131125,0.00131125
3,146.177,1.95152,2.19177,2.03508,0.25487,0.3565,0.22156,0.07834,2.26549,3.91086,2.47417,0.00194499,0.00194499,0.00194499
4,185.824,1.91697,2.1874,1.99859,0.20249,0.36771,0.17078,0.06625,2.10146,4.08452,2.38034,0.00192575,0.00192575,0.00192575
5,225.314,1.87629,2.09628,1.96144,0.37542,0.26685,0.25146,0.08269,2.23744,2.82554,2.49284,0.001901,0.001901,0.001901
6,264.977,1.84245,2.05727,1.93945,0.39982,0.32511,0.2973,0.10835,2.25929,3.62909,2.51627,0.00187625,0.00187625,0.00187625
7,304.585,1.82866,1.99543,1.92281,0.47603,0.39926,0.38681,0.15121,2.07347,2.17853,2.29106,0.0018515,0.0018515,0.0018515
8,343.938,1.78048,1.91027,1.87556,0.5563,0.4417,0.43568,0.19664,1.94928,2.00116,2.16191,0.00182675,0.00182675,0.00182675
9,383.818,1.74596,1.88869,1.85382,0.542,0.46169,0.48226,0.22126,1.84483,1.93375,2.07535,0.001802,0.001802,0.001802
10,423.735,1.74007,1.83145,1.83492,0.50251,0.47309,0.44599,0.19611,1.94523,2.02319,2.21054,0.00177725,0.00177725,0.00177725
11,463.568,1.72959,1.82933,1.82515,0.59863,0.47758,0.51594,0.2296,1.85608,1.81227,2.06992,0.0017525,0.0017525,0.0017525
12,503.004,1.68327,1.76026,1.77567,0.57182,0.50673,0.5421,0.24335,1.82679,1.74403,2.03332,0.00172775,0.00172775,0.00172775
13,542.725,1.69051,1.75001,1.79668,0.55056,0.51345,0.50248,0.21798,1.93028,1.95126,2.15596,0.001703,0.001703,0.001703
14,581.924,1.68173,1.70878,1.78227,0.55767,0.48339,0.5119,0.22458,1.86342,1.83206,2.13501,0.00167825,0.00167825,0.00167825
15,621.727,1.64931,1.65649,1.73846,0.58463,0.56951,0.55019,0.26144,1.80212,1.71629,2.00535,0.0016535,0.0016535,0.0016535
16,661.172,1.6634,1.66568,1.76144,0.59586,0.52466,0.56232,0.25595,1.82325,1.73344,2.02246,0.00162875,0.00162875,0.00162875
17,700.754,1.66887,1.64571,1.76026,0.61296,0.55605,0.57386,0.25606,1.80848,1.64338,1.99508,0.001604,0.001604,0.001604
